epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.115,1.67353,2.49987,1.33618,0.94605,0.16144,0.39498,0.215,1.55361,2.45054,1.27952,0.000471211,0.000471211,0.000471211
2,465.449,1.43984,1.47052,1.17561,0.90164,0.44324,0.49782,0.27969,1.47247,1.43143,1.26025,0.000938164,0.000938164,0.000938164
3,524.115,1.40619,1.32311,1.18781,0.86735,0.42934,0.50689,0.29341,1.47191,1.31412,1.27909,0.00139569,0.00139569,0.00139569
4,583.832,1.38284,1.22076,1.16868,0.86856,0.46518,0.55842,0.3197,1.4585,1.36393,1.28351,0.00138656,0.00138656,0.00138656
5,648.011,1.35526,1.17253,1.16642,0.91713,0.47606,0.55611,0.32502,1.36517,1.04751,1.22595,0.00137241,0.00137241,0.00137241
6,706.157,1.34208,1.07577,1.15004,0.66942,0.53679,0.59136,0.35341,1.38241,1.10065,1.23514,0.00135826,0.00135826,0.00135826
7,764.098,1.31775,1.00441,1.1371,0.67762,0.60819,0.61095,0.35883,1.35544,0.97482,1.20289,0.00134412,0.00134412,0.00134412
8,827.45,1.27609,0.96032,1.11633,0.72256,0.56047,0.62253,0.38554,1.37002,1.02918,1.22528,0.00132997,0.00132997,0.00132997
9,887.241,1.30467,0.96374,1.13223,0.63051,0.57759,0.58667,0.35578,1.34958,0.95235,1.23605,0.00131582,0.00131582,0.00131582
10,944.8,1.26552,0.91485,1.1099,0.88095,0.52349,0.61378,0.39135,1.3622,1.06353,1.20414,0.00130168,0.00130168,0.00130168
11,1003.46,1.25553,0.87712,1.1098,0.73432,0.57188,0.63014,0.38995,1.28409,0.89673,1.18017,0.00128753,0.00128753,0.00128753
12,1064.1,1.2679,0.8843,1.10451,0.67345,0.63514,0.67616,0.41942,1.26802,0.80493,1.15215,0.00127338,0.00127338,0.00127338
13,1122.46,1.24032,0.84512,1.09713,0.87146,0.55453,0.6348,0.40171,1.27039,0.8214,1.14772,0.00125923,0.00125923,0.00125923
14,1183.81,1.23474,0.82666,1.08644,0.84788,0.62685,0.69814,0.441,1.27605,0.84087,1.16806,0.00124509,0.00124509,0.00124509
15,1245.58,1.2344,0.83205,1.09933,0.83403,0.59524,0.70614,0.44478,1.2594,0.82286,1.15492,0.00123094,0.00123094,0.00123094
16,1303.17,1.22276,0.82683,1.09033,0.8319,0.60787,0.65959,0.41497,1.29333,0.83621,1.16385,0.00121679,0.00121679,0.00121679
17,1360.29,1.22247,0.80944,1.08813,0.91321,0.57769,0.68324,0.41929,1.26907,0.82959,1.14852,0.00120265,0.00120265,0.00120265
18,1418.65,1.2135,0.78765,1.07189,0.83021,0.61783,0.69434,0.43071,1.26622,0.78864,1.1652,0.0011885,0.0011885,0.0011885
19,1477.99,1.19997,0.78581,1.07777,0.78504,0.60576,0.68576,0.43594,1.28515,0.81569,1.17154,0.00117435,0.00117435,0.00117435
20,1536.19,1.18872,0.77158,1.075,0.84921,0.63785,0.73047,0.45721,1.30717,0.7582,1.17022,0.00116021,0.00116021,0.00116021
21,1594.14,1.18885,0.76872,1.075,0.88161,0.61491,0.71514,0.45963,1.23473,0.74995,1.14212,0.00114606,0.00114606,0.00114606
22,1655.09,1.18386,0.75919,1.06703,0.73693,0.66616,0.69558,0.44197,1.25598,0.79791,1.15844,0.00113191,0.00113191,0.00113191
23,1712.56,1.1712,0.7319,1.05485,0.74747,0.67058,0.70201,0.44266,1.25067,0.7366,1.14929,0.00111776,0.00111776,0.00111776
24,1769.53,1.16951,0.73668,1.06024,0.76052,0.64919,0.71381,0.46708,1.24156,0.71519,1.15038,0.00110362,0.00110362,0.00110362
25,1828.29,1.16081,0.73495,1.06,0.84572,0.61879,0.71272,0.46085,1.20318,0.70446,1.12007,0.00108947,0.00108947,0.00108947
26,1885.27,1.18057,0.73485,1.05345,0.88721,0.60289,0.72578,0.47965,1.20162,0.72129,1.11465,0.00107532,0.00107532,0.00107532
27,1944.35,1.15641,0.71322,1.05739,0.78824,0.6727,0.74534,0.48572,1.21372,0.69572,1.1199,0.00106118,0.00106118,0.00106118
28,2003.68,1.15124,0.70546,1.04859,0.83292,0.6198,0.71604,0.46599,1.20682,0.69996,1.13242,0.00104703,0.00104703,0.00104703
29,2062.59,1.14572,0.70143,1.04634,0.77124,0.64325,0.71036,0.45666,1.2438,0.6786,1.14497,0.00103288,0.00103288,0.00103288
30,2119.5,1.1609,0.70104,1.04718,0.84367,0.63923,0.71333,0.4662,1.20957,0.67735,1.11098,0.00101873,0.00101873,0.00101873
31,2176.31,1.12973,0.68737,1.04054,0.79927,0.60937,0.71238,0.44575,1.23566,0.70845,1.14033,0.00100459,0.00100459,0.00100459
32,2237.21,1.14095,0.68231,1.03589,0.76417,0.68238,0.71171,0.46429,1.23728,0.7142,1.14684,0.00099044,0.00099044,0.00099044
33,2295.32,1.12262,0.67853,1.04161,0.82743,0.6765,0.7425,0.46964,1.26332,0.73679,1.15653,0.000976293,0.000976293,0.000976293
34,2352.85,1.13313,0.69001,1.0412,0.7507,0.69353,0.73621,0.47944,1.21529,0.68493,1.12524,0.000962146,0.000962146,0.000962146
35,2413,1.1217,0.66937,1.03519,0.78492,0.68517,0.76139,0.49959,1.19148,0.66376,1.10395,0.000947999,0.000947999,0.000947999
36,2470.13,1.12085,0.66525,1.03132,0.84869,0.70153,0.7542,0.48744,1.19783,0.66614,1.12112,0.000933851,0.000933851,0.000933851
37,2526.87,1.10852,0.66221,1.02804,0.82598,0.69397,0.75523,0.49051,1.22469,0.65304,1.1392,0.000919704,0.000919704,0.000919704
38,2587.9,1.11341,0.65567,1.02745,0.81755,0.67365,0.71692,0.46726,1.21727,0.68206,1.12237,0.000905557,0.000905557,0.000905557
39,2645.96,1.10559,0.65503,1.02586,0.75888,0.6864,0.73459,0.48058,1.20689,0.67703,1.11975,0.00089141,0.00089141,0.00089141
40,2702.41,1.1189,0.65816,1.0286,0.83865,0.63572,0.72829,0.48215,1.19157,0.66273,1.10697,0.000877263,0.000877263,0.000877263
41,2758.8,1.08747,0.63352,1.02869,0.86458,0.66454,0.73407,0.48143,1.19889,0.65095,1.11355,0.000863116,0.000863116,0.000863116
42,2818.12,1.0991,0.6411,1.03165,0.80007,0.69236,0.75602,0.49345,1.2053,0.66005,1.12076,0.000848969,0.000848969,0.000848969
43,2873.74,1.12073,0.65219,1.02405,0.88081,0.64103,0.75595,0.50332,1.20228,0.65999,1.11899,0.000834822,0.000834822,0.000834822
44,2929.87,1.08012,0.63598,1.01328,0.73954,0.70458,0.73724,0.49035,1.18504,0.64118,1.10472,0.000820675,0.000820675,0.000820675
45,2988.46,1.09226,0.6273,1.01492,0.78116,0.69104,0.75995,0.50667,1.17633,0.62812,1.10527,0.000806528,0.000806528,0.000806528
46,3044.61,1.08777,0.62447,1.0245,0.90244,0.63268,0.75823,0.50452,1.16702,0.64719,1.09462,0.00079238,0.00079238,0.00079238
47,3104.09,1.0617,0.60676,1.00664,0.87886,0.66767,0.76459,0.50983,1.16078,0.62025,1.08838,0.000778233,0.000778233,0.000778233
48,3163.31,1.08465,0.62114,1.01105,0.84446,0.64722,0.74313,0.48745,1.16813,0.62684,1.09471,0.000764086,0.000764086,0.000764086
